title,nose,taste,finish,score
"""Bernheim Wheat Whiskey"" Barrel Proof B923, 60.2%","Thick caramel, nutty and bready, brown sugar, green apple, sweet toasted wood, lots of vanilla, mellow herbal spice. Delicious and super inviting","Toasted wood, sweet and bready, thick caramel, woody cherry, brown sugars, vanilla, slight wood must, herbal spice and light cinnamon. It really pops with some nice sweetness but still lots of richer caramel and toasted notes. Friendly zingy spice. Very well-balanced, just delicious","Bright pop of cherry, corn and sweet spice before settling into creamy caramel, sweet toasted wood, vanilla, mild tannins",8
"Elijah Craig Barrel Proof C923, 66.5%","Deep toasted oak, heavy vanilla, tobacco, smooth wood spice, rich musty wood, corn, black cherry. Thick oaky nose but smoothly balanced with lots of sweetness, it's delicious and super inviting","Heavy toasted oak, smoothly tannic but also lots of sweet toasted notes, gritty tobacco, sweet toasted vanilla, sweet corn, black cherry, smooth wood spice. Thick gritty mouthfeel but the flavor flows beautifully, an excellent rich oaky Bourbon","Black cherry and menthol, gritty toasted wood, vanilla, mild drying tannic notes. Big finish",8
"Ledaig 2005 17yr G&M ""Connoisseur's Choice"" K&L pick, 2nd fill sherry hogshead 54.3%","Boggy peat, iodine, burnt rubber, toffee, light sweet red fruits, sweet toasted wood, vanilla, mild spice","Big sharp peat, tar, medicinal and boggy, thick caramel, spice, menthol, toasted wood, vanilla, light red fruits, just a hint of sulfury wine","Big peat, gritty toasted wood, caramel, ashy char, tingly menthol and spice, lingering sweet vanilla and peat",8
"William Larue Weller 2022, 62.35%","Sticky sweet toffee, creamy caramel, heavily toasted oak, vanilla, cherry fruit chew, smooth cinnamon. It's not a loud nose, more thick and oaky and creamy with some happy cherry sweetness","Bright syrupy cherry and cinnamon spice, sticky-sweet toffee, rich toasted oak, vanilla, creamy caramel. Despite the high abv it's not a hot action-packed kind of complexity. It all melds into this thick and oaky creamy-sweet Bourbon","Creamy toffee and sweet cherry rides out like candy, but with a thick rich oaky and vanilla backbone to balance it out from being too desserty. It's so freaking satisfying",9
"Bunnahabhain 2009 14yr ""G&M Connoisseur's Choice"" K&L pick, 2nd fill sherry hogshead 55.3%","Thick charred peat, sharp brine and iodine, toasted wood, vanilla, subtle berries and strawberry, caramel, smooth spice.","Big gritty peat, burnt rubber, sweetly charred wood, vanilla, subtle sulfury red fruits, toffee, mellow spice. Lots of heavy peat and vanilla and sweet barrel notes, minimal fruit, a delicious heavily peated Scotch","Heavy peat, brine, sweet barrel char, vanilla, smooth spice, caramel and subtle sweet fruits. Big peaty and toasted vanilla finish",8
"Clynelish 2007 16yr ""G&M Connoisseur's Choice"" K&L pick, refill sherry hogshead 55%","Caramel, red berries, honeyed fruit, waxy malt, butterscotch, light charred oak, mild spice. Malty and sugary-sweet with a beautifully balanced dose of red berry fruits","Honey, thick waxy malt, sweet barley, red berries and honeyed fruits that that all meld together beautifully, sugary-sweet with some darker woody caramel and lightly charred toasted oak. Sugary and fruity but has a nice gritty thickness at the same time. Man this stuff is so drinkable","Long finish of sweet red berries, bright sugary barley, honey, vanilla frosting, some gritty oak and malt on the tail end",9
"Glenlivet 2003 20yr ""G&M Connoisseur's Choice"" K&L pick, 2nd fill bourbon 55.3%","Crisp green apple, sweet barley, grassy malt, lemon, lightly floral, easy spice","Sugary sweet barley, grassy malt, bright lemon, tropical fruits, green apple, peppery spice. Sweet and bright and easy drinking","Grassy and malty and sweet, sugary barley, slightly herbal, peppery spice. Sweet barley and lemon lingers for ages",8
"Caol Ila ""G&M Connoisseur's Choice"" K&L pick, 1st fill Bourbon 53.9%","Smooth clean peat, bbq meat, vanilla, brine, sweet caramel, soft charred notes, lemon, soft spice.","Clean peat and and spice, bitter tannic wood, herbal notes, lemon, light ashy char, caramel, cake frosting, lots of peppery spice. Some really nice sweetness and peat but a little too much bitter wood and funk comes through and throws it all off.","Big cutting peat and spice, vanilla, tannic wood, funky herbal spice, it lingers peaty and bitter",7
"Lheraud Cognac Lot 78/23 ""Le Gus't,"" 52.2%","Right away I am hit with a delicious mushroom and soy sauce rancio that is smooth and balanced, caramel, dry toasted wood, light grape sweetness, vanilla, floral, aromatic wood spice","Caramel and smooth soy sauce rancio combine with a smooth oily mouthfeel, sandalwood, sweet grape, slightly herbal, dry toasted oak, vanilla",That unique caramel and soy sauce flavor carries into the finish with herbal notes and dry wood spice,8
"Glenlivet 2002 20yr ""G&M Connoisseur's Choice,"" 1st fill Bourbon 56.2%","Fruity and malty, buttery oak, clean sweet barley, green apple, tropical fruit, sugary frosting","Toasted oak, buttery and creamy with a slight tannic bite, sweet barley, big tropical fruits, musty wood, wood spice","Buttercream, sweet barley, toasted oak, wood spice, lingering tannic wood",8
"Charron 1987 #53, 46.7%","Smooth dark toasted oak, heavy vanilla, caramel, soy sauce, chocolatey grape, mellow wood spice","Grape, tart black cherry, caramel, thick vanilla, dark chocolatey toasted oak, tannic and mildly drying, barrel char, smooth wood spice.","Thick caramel and vanilla, grape, dark cherry, trails off into light soy sauce, drying tannins, chocolatey wood",8
"Clynelish 2009 13yr G&M Connoisseur's Choice K&L pick, refill sherry 57.8%","Dark and fruity with just enough sweetness, toffee, tart jammy berries, brooding spice, toasted wood, wood spice","Sweet sugary fruit, brighter and sweeter than the nose, berries, cherry, strawberry, toffee, toasted wood, lots of sweet barley malt, caramel. It all melds cohesively into a sweet toffee/fruity/malty Scotch, beautiful stuff. A very drinkable mouthfeel with big flavor that goes down easy","Fruity berry and spice builds even brighter, strawberry, cherry, caramel, sweet toasted wood. Sweet happy finish",8
"""Jack Daniel's Single Barrel"" Barrel Proof Rye, New Jersey Bourbon & Yacht Club 66.9%","Big clean herbal rye, sweet toasted wood, coffee, mint, lots of complex herbal spice, maple, brash cherry and spice","Big herbal rye clean and bright, rich cherry wood, mint, sweet toasted wood, thick maple, bright lively rye spice. Hits huge but not in a hot or brash way. Always big big flavor on these that just explodes on the palate","Sharp herbal rye, bright rye spice builds, baking spices, toasted cherry wood, lots of maple sweetness",8
"""Clear Creek Apple Brandy 15yr"" Afish single barrel pick, 52.3%","Rich toffee, bold warming apple, chocolatey oak, smooth dark wood, mildly tannic, minty spice","Sweet apple is up front, warm and rich but intertwined with tons of toffee, sweet toasted oak, smooth dark wood, mildly tannic, caramel apple, mint, mild wood spice","Gritty apple builds bigger and brighter, light spice, brown sugar and sweet toasted oak, then the sweetness slowly trails off and leaves some mildy tannic drying wood and apple. Long complex finish",8
"Grosperrin Michaud 1985 Armagnac Afish pick, 54%",,"Sticky-sweet toffee, bright cherry, sugary fruits, a delicious kind of sour rancio, makes a nice combo that is sharp and clean, sweet toasted wood, maple, vanilla, toffeed grape and spice","Toasted wood and cherry, tobacco, sugary fruits. Lingering sweet gooey mix of toffee, soy sauce, and maple",8
"L'Encantada Lous Pibous #117, 1993 25yr 52.7%","Thick syrupy cherry, minty spice, heavy vanilla, deeply toasted oak, chocolatey grape, graham cracker, tannic wood. Thick, syrupy-sweet and oaky","Thick syrupy cherry, toasted and charred oak, wood spice, woody cherry, heavy vanilla, tobacco, tannic wood, thick mellow spice. Thick syrupy mouthfeel","Toasted oak and vanilla builds with darker black cherry, spice, hint of tannic wood, rides out sweet and oaky and darkly spicy",9
"Daftmill 2007 12yr ""Winter Batch,"" 46%","Gentle and grassy, hay, barley sugars, green apple, just a touch refined malt. It's so delicate","Super oily mouthfeel, but the flavor is quite reserved. Light barley presence, grain sugars, hay smooth malt, tropical fruit. It's extremely smooth and refined, delicate even, to the point of being a little boring","Tropical fruit, smooth barley, lemon, just a hint of delicate spice",6
"Port Charlotte 2002 13yr ""Rest & Be Thankful,"" Bourbon cask 62.2%","Heavy smoke, it's a sweet and clean smoke, bbq meat, lightly floral, vanilla icing, tropical fruits, green apple, sweet toasted wood, spice. Simultaneously thick and sharp","Heavy campfire smoke, bbq meat, crisp clean peat, bright sugary vanilla frosting, sweet toasted wood, some gritty char, sugary tropical fruits, big peppery spice. It's a smoky and sweet fruity profile, but the high abv gives it some serious heft. A nice thick and satisfying mouthfeel without any real heat","Big finish of sweet smoke, powdered sugar, sweet vanilla, berry and tropical fruits, sweet wood. Sugary smoky and peaty finish that builds big and draws out for ages",8
"""Jack Daniel's Single Barrel"" Barrel Proof Rye, 64.6%","It leaps out of the glass, all the notes are just massive. Big clean rye grain, maple syrup, evergreen, big heavily toasted wood, brown sugar, coffee, thyme. It's a big bold rye for sure","Rye comes through clean and sharp, mouth-numbing wintergreen, thick maple, cherry, menthol, tons of heavily toasted wood, brown sugar, dark roasted coffee, cocao, gritty charred oak. The big clean rye and heavy toasted wood notes are huge, just massive amounts of flavor and it all comes at you so cleanly. Huge and action-packed but not overly hot or messy","Evergreen, menthol spice and cherry builds huge, then slowly fades in with maple, sweet toasted wood. Long lingering rye finish",9
"""L'Encantada XO"" Aficionados pick, 51.3%","Bold grape and vanilla, maple, black cherry, cherry wood, thick caramel, smooth tannic wood, graham cracker","Gritty toasted wood, graham cracker, maple, toffee, thick caramel covered grape, syrupy black cherry, tannic wood, vanilla. Lots of savory toffee and graham cracker and even maple but also gritty char and tannic notes. Plenty of bold fruit. Just amazing complexity that comes together really well","Smooth tannic wood, burnt grape, cherry, vanilla, herbal spice. A nice little hot and sweet kick",8
"Calumet 16yr ""Single Rack Black"" Bourbon, 53%","Toffee, deep toasted oak, vanilla, dark woody cherry, cocoa, tobacco, smooth dark tannins, lightly drying","Thick dark oak, woody toffee, smooth tannic wood, vanilla, gritty toasted oak, tobacco, menthol, slightly drying wood and spice. It's heavy oak, but only slightly drying and tannic. Stays smoothly balanced with lots of sweeter toasted notes","A long sweet and woody finish of brown sugar, toasted oak, black cherry, sweet toasted vanilla, corn, trails off with some lightly drying musty wood and menthol",8
"""Thompson Brothers Isle Islay"" (Laphroaig) K&L 1991 29yr, refill hogshead 50.8%","Huge clean peat, tar, burnt rubber, thick buttery and creamy notes, toasted wood, vanilla, bright lemon and fruit, pepper. God it's so huge and sharp","Big peat, super clean and bright, brine, caramel, gritty char, vanilla, creamy dessert notes, tropical fruits, sweet peppery spice. It explodes on the palate, everything is so crisp and clean and bright.","Clean sharp peat, tropical fruits, sweet toasted wood, sugary pastry, peppery spice builds to add a fun little spice kick but without any real heat",9
"Maison Aurian 1995 Grapediggaz, 48.9%","Dark and fruity, black cherry, dark toasted wood, vanilla, light balsamic, grape, gentle spice","Dark toasted wood, slightly drying and tannic, vanilla, burnt grape, some sweeter cherry lurking in all the darkness, wood spice.","Sweet toasted wood and drying tannins, brightens up on the tail end with fruity grape, cherry and vanilla, lingering dry wood spice",8
Russell's Reserve Single Barrel K&L 17-550,"Warming caramel, cherry toasted wood, thick thick vanilla, wood spice, cedar, clove. Warm and full, delicious, ridiculously inviting","Big toasted wood, rich caramel, sweet vanilla, cherry, milk chocolate, rich and woody and toasted. It's so full bodied, a rich and flavorful mouthfeel that coats the mouth, just fantastic.","Sweet toasted wood, thick vanilla, a pop of sweet cherry and mild spice, the sweetness and vanilla lingers",9
Wild Turkey 12yr 101,"Caramel, sweet toasted wood, vanilla, smooth tobacco, light chocolate, corn, fruity pear, berries. Sweet and smooth and woody","Caramel, smooth toasted oak, slightly drying, cocoa, woody cherry, sweet vanilla, gentle wood spice. It's a super smooth and easy-sipping woodiness, light mouthfeel, slightly drying but enough sweetness to level it out keep it from being anything super oaky or challenging","Wood spice, smooth tannic dryness, sweetly toasted oak, vanilla, some sweet berry",7
Wild Turkey 101,"Bold corn, toasted oak, tobacco, caramel, cinnamon, musty wood, light funk","Sweet caramel and corn, toasted wood, faint green apple, smooth corn funk, soft herbal spice, cinnamon. An easy sipping mouthfeel, smooth and sweet and flavorful without being overly light","Cinnamon spice carries through into the finish with sweet caramel and corn, sweet toasted wood, vanilla, hint of corny turkey funk",7
"""Laphroaig Single Cask"" Mission pick, 2013 first fill Bourbon (warehouse 1) 54.1%","Big clean medicinal peat, crisp and briny, creamy pastry, tar, sweet toasted wood, vanilla, green apple","Creamy pastry dessert notes, big clean medicinal peat, tar, sweet and briny, seaweed, tropical fruits. Big clean mouthfeel, bright and peaty and sweet","Softer peat, gritty brine, creamy vanilla, sugary frosting, soft spice, lingering sweet char and peat.",8
"""Laphroaig Single Cask"" Binny's pick, 2014 PX hogshead 62.2%","Thick peat, toffee, rich honeyed fruits, light fruity wine, smooth toasted wood and vanilla, all warmly balanced wow","Toasted wood, big medicinal peat, vanilla, standard Laphroaig notes but then it smoothly transitions to graham cracker, honey, smooth warm fruits, gritty toffee, peppery spice. Has a thick yet smooth warming mouthfeel, with lots of peat and honeyed fruit all balanced together","Sweet fruits build bright, strawberry and lemon, toffee, big medicinal peat, vanilla and barrel char, nice spice. A simultaneously sweet and mean charred peat finish",9
"""Laphroaig Single Cask"" Hi-Time pick, 2014 virgin French oak (medium toast) 58.7%","Heavily and sweetly toasted wood, big medicinal Frog peat, thick vanilla, sweetly charred, toffee, cool menthol spice","Sweet toasted wood, heavily charred and toasted but the French oak has a softness to it, big medicinal peat, vanilla, drying tannic wood, tobacco, toffee, sweet char","Vanilla toasted wood, medicinal peat, builds sweetly charred and peaty with some drying tannins. It's a long complex finish of sweet toast, peat and wood",9
"""Laphroaig Single Cask"" Jay West/Nick Conti pick, 2014 virgin French oak (heavy toast) 57.9%","Thick and chocolatey, big medicinal peat interwoven with rich toasted oak, toffee, sweet vanilla, sweet char, fudgy chocolate, aromatic spice","Big chocolatey oak and thick caramel melds with medicinal Frog peat, tons of soothing vanilla, sweet char and aromatic spice, slighty drying wood","Sweet toasted oak, vanilla, some slightly drying tannins, toffee, big medicinal peat. A long powerful finish of medicinal peat and thick wood",8
"L'Encantada Lassalle #136, 1988 33yr 52.5%","Dark toasted oak, coffee, chocolatey and darkly toasted, smooth tannins, vanilla, dark fruity grape, mild spice tingle.","Sweet fruits of burnt grape and black cherry, dark toasted oak, smooth tannic wood, darkly charred and sweet, vanilla, slight spice kick","Dark fruits and spice, smooth chocolatey and tannic wood, black tea, mellow spice layer, vanilla and fruits ride out long with light spice tingle",9
"Rittenhouse Rye Bottled in Bond, 50%","Sweet rye, light toffee, menthol, eucalyptus. Light but very well-balanced and cohesive","Light toffee, sweet rye, mint, sugary and a little nutty. Light and sweet, very well-balanced","Sugary toffee, sweet rye, nutty sweetness, just a hint of herbal rye spice",6
"Smoke Wagon ""Desert Jewell Reserve"" Bourbon(MGP) 10yr, 52%","Toasted oak, vanilla, brown sugar, orange cream, cherry, corn, gentle herbal spice. Sweet and oaky and so inviting","Big sweet toasted oak, creme brulee, creamy caramel, vanilla, musty wood, some fruity orange and cherry pops along with the toasted sweetness, gritty brown sugar.","Long sweet toasted oak finish, cherry sweetness builds brighter, spice kick, just a touch of drying wood and tobacco",9
"Jean Cave Armagnac 1980, 46.9%","Rich toasted oak, vanilla, cigar, cocao, cherry, chocolatey grape","Heavy toasted oak, sweetly toasted vanilla, toffee, chocolate grape, dark cherry","Smooth dark oak, just slightly tannic and drying but still lots of sweet vanilla and grape",8
"Clynelish 1993 26yr ""SMWS 26.151 Fragrance Clings to the Hand That Gives Flowers,"" refill bourbon 47.3%","Honey, barley, green apple, tropical fruits, lightly sweet and floral","Honey, waxy malt, butterscotch, delicate barley, sugary green apple, faintly nutty and herbal","Barley, cereal grain, dessert pastry, leaves sweet and sugary with a hint of butterscotch",8
"Clynelish 2000 20yr North Star, sherry and brandy aged 53.3%","Waxy malt, caramel, wine funk, light red fruits, lemon. This smells so much like a Bruichladdich, malty and winey and a little funky in a good way","Caramel, thick waxy malt, sweet barley, lemon, wine funk, sweet red fruits. Sugary malt with a sweet and funky wine fruitiness","Sugary barley, malt, lemon frosting, sugary white fruits, mild peppery spice",8
"Clynelish 2004 16yr ""SMWS 26.144 Herbal Reveries,"" 1st fill bourbon 54.3%","Cereal malt, hay, barley, caramel, tropical fruits, sweetly floral, light peppery spice. Sweet and fruity with nice caramel","Bright sweet barley, cake frosting, gritty sugary pear, caramel, floral, big tropical fruits, mild spice. Sweet and barley forward with lots of dessert and fruits","Barley sugar, pear, tropical fruits, vanilla frosting. Sweet sugary finish",9
"Grosperrin 1982 Petite Champagne Cognac lot 570, 46.3%","Sugary fruits, apricot, white peach, pear, creamy butterscotch, cake frosting, sandalwood, aromatic spice","Bright and fruity and sweet. Pear, apricot, sugary frosting, butterscotch, sandalwood, but also some darker notes of sweet toasted wood, toffee, vanilla. It all flows together into this super drinkable Cognac","Toffee, bright cherry, sweet toasted wood, spiced apple, leaves with sugary dessert notes",8
"Clynelish 1995 23yr Signatory K&L pick, refill sherry 56.1%","Heavy on the sherry, but in a smooth and balanced way. Dark red fruits, butterscotch, plum, black cherry, caramel, smooth toasted wood, holiday spice","Decadent sherry, chocolate, rich dark fruits, black cherry, strawberry, toffee, smooth spice, creamy caramel, graham cracker, malt. Big fruity sherry notes and creamy caramel richness, has a nice sweetness overall","Sweeter candy cherry and strawberry, sugar pastry, friendly spice, creamy caramel. Big sweet finish that leaves you wanting more. Really pleasant way to leave off",9
"Clynelish 2013 7yr ""SMWS 26.176 A Sea of Sumptuosity,"" first fill bourbon 61.9%","Waxy malt, toasted wood, toffee, green apple, berries, gently floral, spice","Viscous waxy malt, sweet bright barley, green apple, thick caramel, sweet toasted wood, vanilla, soft spice kick that brings in a little action. Big and sweet and fruity with a thick mouthfeel, yum yum","Big sweet barley kick, caramel green apple, sweet wood, vanilla, floral, sweet fruits. Long sweet malty finish",9
"Clynelish 1996 20yr ""Signatory"" refill sherry butt, 56.3%","Toasted and biscuity, butterscotch, caramel, undercurrent of smooth dirty fruits, caramel raisin, berry, figs","Caramel, toasted biscuity malt, toffee, syrupy mouthfeel, sweet caramel-covered strawberry, mild herbal spice. Nice mouthfeel, cohesive, the flavor flows beautifully","Sticky-sweet caramel and toasted biscuity malt, sweet fruity strawberry, mild spice, a big pleasant finish that is just so Scotchy",8
"Russell's Reserve 13 year, 57.4%","Rich dark toasted oak, woody caramel, leather, vanilla, subtle berry, chocolate. Layers of smooth warm oakiness","Big toasted oak, woody caramel, vanilla, smooth tannins, warm sweet corn, mellow wood spice, slightly drying, tobacco. All these complex wood notes meld smoothly, creates this chocolatey-rich oakiness that has just the right amount of drying tannins","Toasted oak, building wood spice, vanilla, just slightly drying as it trails off. Long and rich oaky finish",8
"Four Roses ""Small Batch"" Limited Edition 2022, 54.5%","Sweet corn, cherry, clean toasted oak, slight mustiness, gentle floral notes, caramel, light zingy spice, almost a butterscotch creaminess. Creamy and fruity and sweet, just delightful. Has a clean and crystal-clear quality to it","Cherry candy, clean corn, rich caramel, sweet floral notes, clean lightly toasted oak, vanilla. Again it has such a clean mouthfeel. Surprisingly for the age it's not super oaky, it's more of the fruity sweet and floral notes on display. It feels happy and clean more than it feels ""old.""","Floral notes and light cinnamon spice build, cherry, creamy caramel. A fruity sweet finish with just a touch of cinnamon spice tingle",8
"Grosperrin ""Zn09 Ssmurai"" Bas-Armagnac 1996, 52%","Dark toasted wood, caramel, vanilla, soy sauce, chocolate, plum, red berries.","Rich caramel, smooth toasted wood, vanilla, graham cracker, soy sauce, plum, chocolatey grape. Thick oily mouthfeel, big flavor that flows smoothly","Toffee, citrus fruits, soy sauce, graham cracker, settles into chocolatey grape and soy sauce, mellow minty spice",8
"Rounagle 1984 38yr The Distillates pick, 52%","Smooth dark oak, sweetly toasted, just a hint of tannins, jammy fruits, grape, lots of vanilla. Sweet and woody, smoothly balanced","Sweet toasted oak, toasted marshmallow, caramel, fruity grape, vanilla, some dry tannic wood smoothly integrated. Lighter mouthfeel","More dry tannic wood creeps in, toasted oak, sweet vanilla, fruity grape",7
"Giboin Cognac 2002 Aficionados pick, 52.6%","Heavily toasted wood, rich caramel, mellow wood spice, vanilla, black cherry, menthol.","Oh yeah that's the stuff. Heavily toasted wood, vanilla, rich warming caramel, just a touch of darker tannins, woody cherry, warm fruity grape, mellow wood spice. It's the kind of stuff that is delicious but not in a complex way, the flavor just oozes along warm and satisfying. Lands just right","Flavor continues into the finish, toasted wood, vanilla, toffee, spice builds but stays mellow and lingers with sweet woody cherry",8
"""Smooth Ambler Old Scout"" Rye(MGP) 9 year Single Barrel, 57.2%","Creamy and luscious. Creamy toffee, maple, toasted wood, vanilla, smooth quiet rye, mint, orange, a touch of fruity cherry.","Creamy and oaky and sweet. Smooth toasted oak, creamy toffee, orange caramel, thick quiet layer of rye, soft herbal spice. Such an elegant mouthfeel. Powerful flavor, very cohesive and thick","Orange caramel, smooth toasted oak, cherry and mint, building rye spice",9
"Giboin Cognac 2005/2007/2009 Aficionados pick, 57.7%","Caramel, orange, warm toasted wood, apricot, tingly cinnamon spice heat. With water the tingly spice is gone and it's a caramel fruit jamboree","Bright orange and caramel, hot lively spice, sweet toasted wood, apricot, sweet fruits. Just a tad too hot, so I added water. Really transforms it. Calms it all down, the fruits really come alive and there's thick caramel and even some creamy notes. Cherry, sugary fruits, caramel, butterscotch, sweet wood","Big bright fruit and spice, butterscotch, orange",7
"Kilkerran 8 year Bourbon Cask 2023, 55.8%","Big creamy and malty, buttercream, thick cereal malt, a sharp briny edge that is just delicious, balanced campbeltown funk, hay, faint green apple, mild herbs. Just beautiful. Thick and creamy and balanced with that briny funky edge","Thick sugary malt coats the mouth, thick and buttery, robust malt, cereal, sugary barley, butterscotch, faint musty wood, delicious briny edge rises up smoothly, all intertwined with just enough smoky funk to give it that Kilkerran character but without stealing the show. It's freaking delicious","Barley sugar, sweet malt, smoky briny funk that smoothly melds, some peppery spice to remind you that you are drinking a Whisky after all and not some Barley dessert that you picked up out of the ocean",9
"L'Encantada Lous Pibous #223 2004-2018, 56.1%","Butterscotch, astringent cherry, very hot with lots of spice, burning menthol, oak","Creamy, toffee, loads of syrupy-sweet cherry, spice, toasted wood","Toasted wood and cherry, lots of pleasant Bourbony spice, just a hint of oaky tannic bite, cherry menthol",8
"Laphroaig 2000 22yr ""Old Particular"" K&L pick, refill hogshead 48.5%","Big Laphroaig medicinal peat, sharp brine, seaweed, lemon, custard, sugary green apple, pepper. Clean and peaty and oceany and fruity wow","After the peaty nose, taste is much much softer. Soft fuzzy peat, ash, brine, bready and a little funky, petrol, lemon, delicate stonefruit. It's all very soft and quiet, it's good but the mouthfeel is just a little too light","Picks up some more body on the finish, soft creamy peat, ash, pepper, bready malt, hay, a little",7
"Laphroaig 2012 10yr ""Old Particular"" K&L pick, ex-bourbon, 53.4%","Oh my yes. Big medicinal peat, brine, buttery and creamy, sweet custard, tropical fruit, barrel char","Medicinal peat and brine cuts through cleanly, sugary pastry, vanilla custard, ashy char, bright fruits. Spirit forward in a sweet and fruity way with lots of peat and brine.","Slightly meaner on the finish with cutting medicinal peat and ashy char, peppery spice, still some sweet sugary notes",8
